Date,spx
1984-01-31,-0.014462641611174496
1984-02-29,-0.03523257477357033
1984-03-30,0.007487446322179014
1984-04-30,-6.1387147967773e-05
1984-05-31,-0.06516345368779053
1984-06-29,0.011488080591279816
1984-07-31,-0.02240311445272669
1984-08-31,0.09880130659660158
1984-09-28,-0.009060269497575879
1984-10-31,-0.0027597767608316115
1984-11-30,-0.028812232663878563
1984-12-31,0.017727235194063384
1985-01-31,0.04320815687508883
1985-02-28,0.0055482441140148895
1985-03-29,-0.004650755420646968
1985-04-30,-0.009287678293106172
1985-05-31,0.04917791451476283
1985-06-28,0.01088120857178354
1985-07-31,-0.009219709547040877
1985-08-30,-0.01637001861998999
1985-09-30,-0.03858556241475741
1985-10-31,0.026249689503560655
1985-11-29,0.04180116304786008
1985-12-31,0.04068158497263608
1986-01-31,0.0025038374134582764
1986-02-28,0.06745891167055773
1986-03-31,0.04892712953729217
1986-04-30,-0.017840561976046554
1986-05-30,0.04642389696921545
1986-06-30,0.010401407156730436
1986-07-31,-0.06207545433591055
1986-08-29,0.06594027870063579
1986-09-30,-0.08825197239201865
1986-10-31,0.049451199025353436
1986-11-28,0.014804558613704666
1986-12-31,-0.03160634124535333
1987-01-30,0.11552440378172267
1987-02-27,0.03384261619392604
1987-03-31,0.022849789535857926
1987-04-30,-0.014734474717168268
1987-05-29,0.0028433571943125013
1987-06-30,0.044253314914499915
1987-07-31,0.04455849818384339
1987-08-31,0.031277426337769754
1987-09-30,-0.02787636105425839
1987-10-30,-0.21626732095748824
1987-11-30,-0.0990830352736478
1987-12-31,0.06904546925818544
1988-01-29,0.03790582419104727
1988-02-29,0.038506929862616834
1988-03-31,-0.03690777747250496
1988-04-29,0.006079053817577451
1988-05-31,-0.000528899557571183
1988-06-30,0.02163240615966
1988-07-29,-0.00917832702026944
1988-08-31,-0.04300738696442685
1988-09-30,0.03808243829868396
1988-10-31,0.021092782628349127
1988-11-30,-0.0021528056712868393
1988-12-30,0.009838826796772835
1989-01-31,0.06512101741555587
1989-02-28,-0.03339908752615095
1989-03-31,0.015207757549685397
1989-04-28,0.04496413465739901
1989-05-31,0.029714562577957793
1989-06-30,-0.01294800561739462
1989-07-31,0.08354690164497257
1989-08-31,0.010309782531000344
1989-09-29,-0.010887105453935342
1989-10-31,-0.02978810076989047
1989-11-30,0.011914686624288072
1989-12-29,0.01702660696414382
1990-01-31,-0.07324339556715087
1990-02-28,0.004355154519470439
1990-03-30,0.019236428356498525
1990-04-30,-0.031162289455602062
1990-05-31,0.08676137445206368
1990-06-29,-0.01342753227892024
1990-07-31,-0.009721302827926048
1990-08-31,-0.09870845135569516
1990-09-28,-0.0549365982858675
1990-10-31,-0.011315244033058836
1990-11-30,0.05551249663080071
1990-12-31,0.020947616522145832
1991-01-31,0.0496923584271558
1991-02-28,0.06390020553473019
1991-03-29,0.018802840873393345
1991-04-30,-0.003153378359614823
1991-05-31,0.03507454836069068
1991-06-28,-0.05089066809377385
1991-07-31,0.04125782123794109
1991-08-30,0.016282077794304683
1991-09-30,-0.022025039516478828
1991-10-31,0.008450269758709661
1991-11-29,-0.04638572704304267
1991-12-31,0.10893188855226787
1992-01-31,-0.02220172168074863
1992-02-28,0.007495929308336312
1992-03-31,-0.024265131565289973
1992-04-30,0.025631625426363103
1992-05-29,-0.0013528678806323802
1992-06-30,-0.01957010624747202
1992-07-31,0.03733931777748878
1992-08-31,-0.025789149526975752
1992-09-30,0.007385699188469319
1992-10-30,0.0003462532053564171
1992-11-30,0.028467203186312462
1992-12-31,0.008112914152751838
1993-01-29,0.005363276445299103
1993-02-26,0.008915213952525702
1993-03-31,0.016769805539229354
1993-04-30,-0.027058309293716443
1993-05-31,0.021030263198446697
1993-06-30,-0.0011320350827519474
1993-07-30,-0.007098842182240883
1993-08-31,0.03251589113523834
1993-09-30,-0.011700542025007588
1993-10-29,0.016418998405200114
1993-11-30,-0.012321538316240943
1993-12-31,0.00819709645476552
1994-01-31,0.030706153704694875
1994-02-28,-0.031723137268562684
1994-03-31,-0.047895176122082495
1994-04-29,0.0095573967890239
1994-05-31,0.00993427994636753
1994-06-30,-0.029267821686026818
1994-07-29,0.028996705196885356
1994-08-31,0.03461589156808387
1994-09-30,-0.029566391455520532
1994-10-31,0.009310370204531626
1994-11-30,-0.04250019471709743
1994-12-30,0.008962300165392678
1995-01-31,0.020840072602857473
1995-02-28,0.032891522399876034
1995-03-31,0.02352320850252765
1995-04-28,0.024856164841551287
1995-05-31,0.032680392314146545
1995-06-30,0.0178231331604064
1995-07-31,0.02863224380909557
1995-08-31,-0.003810497704199834
1995-09-29,0.037012640800281334
1995-10-31,-0.008234633351305032
1995-11-30,0.037757135918770064
1995-12-29,0.014500891409627625
1996-01-31,0.029426447127986144
1996-02-29,0.004201841525465877
1996-03-29,0.004962835136072652
1996-04-30,0.010470300628109276
1996-05-31,0.0196812109021971
1996-06-28,-0.0006112655533433432
1996-07-31,-0.04879163599677217
1996-08-30,0.015640334866176886
1996-09-30,0.0511688178516001
1996-10-31,0.022833627406808388
1996-11-29,0.07035851709564267
1996-12-31,-0.02433532091313062
1997-01-31,0.058030652291023437
1997-02-28,0.0032468252695565525
1997-03-31,-0.045382051497763636
1997-04-30,0.05505146360513535
1997-05-30,0.05545022417912282
1997-06-30,0.04042939456963923
1997-07-31,0.0747674732861412
1997-08-29,-0.06030653591787771
1997-09-30,0.05009295497855515
1997-10-31,-0.03757587578637134
1997-11-28,0.04173296021683681
1997-12-31,0.01250113786214624
1998-01-30,0.007300473205556156
